,Company,Location,Year,Fuel,Miles,Gear,Price,Name,Brand,Model,Engine Volume,Horsepower
7543,,Jönköping,2016,Diesel,6600,Automat,159900,Kia Soul 1.6 CRDi DCT GLS Automat,Kia,Soul 1,Unknown,Unknown
7544,,Värmland,2017,Bensin,14000,Automat,119900,Skoda Fabia Kombi 1.2 TSI DSG  Euro6 110hk / CARPLAY / MOMS,Skoda,Fabia Kombi,1.2,110
7545,,Värmland,2011,Bensin,15850,Automat,119900,Mercedes-Benz C 180 CGI 5G-Tronic Classic 156hk / Nyservad,Mercedes-Benz,C 180,Unknown,156
7546,,Värmland,2019,Diesel,9160,Automat,179900,Volkswagen Golf Sportscombi 1.6 TDI Euro6 116hk APPLE / DRAG,Volkswagen,Golf Sportscombi,1.6,116
7547,,Värmland,2019,Miljöbränsle/Hybrid,7220,Automat,169900,Toyota Yaris Hybrid e-CVT Y20 Euro6 101hk / NYBES,Toyota,Yaris Hybrid,Unknown,101
7548,,Värmland,2007,Bensin,17700,Manuell,59900,Volvo S60 2.4 Kinetic Euro 4 140hk,Volvo,S60 2,Unknown,140
7549,,Skåne,2023,El,1290,Automat,1079000,Porsche Taycan 4S Cross Turismo,Porsche,Taycan 4S,Unknown,Unknown
7550,,Stockholm,2021,Bensin,7188,Automat,239900,Volkswagen Golf eTSI150 DSG Drag/P-värmare/Navigation,Volkswagen,Golf eTSI150,Unknown,Unknown
7551,,Stockholm,2021,El,2825,Automat,409900,Volkswagen ID.4 Pro Performance FirstEdition/Drag,Volkswagen,ID,Unknown,Unknown
7552,,Stockholm,2013,Diesel,14800,Manuell,109800,Volvo V60 D2 Momentum Värmare P-Sensorer Farth,Volvo,V60 D2,Unknown,Unknown
7554,,Stockholm,2023,Diesel,2295,Automat,639000,Mercedes-Benz GLC 220 d 4M / PANO / VÄRMARE / KROK / BURMEST,Mercedes-Benz,GLC 220,Unknown,Unknown
7555,,Stockholm,2022,Diesel,3116,Automat,409000,Mercedes-Benz C 220 T d 9G-Tronic / BURMESTER / KROK /,Mercedes-Benz,C 220,Unknown,Unknown
7556,,Stockholm,2024,El,1107,Automat,799000,"Audi Q8 Sportback 50 e-tron quattro S-line 250,00 kW",Audi,Q8 Sportback,50,Unknown
7557,,Stockholm,2023,Miljöbränsle/Hybrid,1470,Automat,365000,Mercedes-Benz A 250 e 8G-DCT / AMG / PANO / KAMERA,Mercedes-Benz,A 250,250,Unknown
7558,,Stockholm,2023,Diesel,3022,Automat,519000,Mercedes-Benz C 220 T d 4MATIC AMG / Premium Paket / Dragkro,Mercedes-Benz,C 220,Unknown,Unknown
7559,,Stockholm,2023,Miljöbränsle/Hybrid,1033,Automat,357000,Lexus UX 250h Comfort Teknikpaket backkamera Dödavinkelvarna,Lexus,UX 250h,Unknown,Unknown
7560,,Västerbotten,2023,Miljöbränsle/Hybrid,58,Automat,409900,Toyota C-HR Hybrid AWD-i 2.0 Style Teknikpaket nästan ny omg,Toyota,C-HR Hybrid,Unknown,Unknown
7561,,Östergötland,2002,Bensin,11535,Manuell,114900,Saab 9-3 Cabriolet 2.0 Turbo SE 185hk,Saab,9-3 Cabriolet,Unknown,185
7562,,Kronoberg,2017,Bensin,10700,Manuell,109000,Renault Clio PhII Energy TCe 90 Intens 5-d,Renault,Clio PhII,Unknown,Unknown
7563,,Älvsborg,2021,Bensin,2279,Manuell,259900,Volvo XC40 T2 FWD Momentum,Volvo,XC40 T2,Unknown,Unknown
7564,,Göteborg,2023,Miljöbränsle/Hybrid,1200,Automat,999900,Mercedes-Benz GLE 350 de 4MATIC Coupé  Panorama/AMG/MOMS/VAT,Mercedes-Benz,GLE 350,Unknown,Unknown
7565,,Älvsborg,2021,Miljöbränsle/Hybrid,5445,Automat,369000,Volvo XC40 Recharge T4 Inscription,Volvo,XC40 Recharge,Unknown,Unknown
7566,,Skåne,2020,Bensin,6553,Automat,199900,Skoda Scala 1.0 TSI Style Automat Backkamera 115hk,Skoda,Scala 1,1.0,115
